cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1019,heuristic_cut,15678,15678,0,78,78,1.0,1.0,1.0,0.0,0.0214163999771699,center0,0.0,0.8960207974502487,HC_SINGLE_SIGMA_2.50,490.0,
UBC1020,heuristic_cut,20110,20111,1,110,110,1.0,0.990990990990991,0.995475113122172,0.0,0.0327281999634578,center0,0.0,0.9688957684748234,HC_SINGLE_SIGMA_2.50,488.0,
UBC1021,heuristic_cut,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.0100090000778436,center0,0.0,0.6522303529872534,HC_SINGLE_SIGMA_2.50,488.0,
UBC1022,heuristic_cut,7637,7638,1,37,37,1.0,0.9736842105263158,0.9866666666666666,0.0,0.0130364999640733,center0,0.0,0.7396896757375011,HC_SINGLE_SIGMA_2.50,490.0,
UBC1023,heuristic_cut,8040,8040,0,40,40,1.0,1.0,1.0,0.0,0.0134315999457612,center0,0.0,0.753773688237841,HC_SINGLE_SIGMA_2.50,486.0,
UBC1024,heuristic_cut,20130,20133,3,130,130,1.0,0.9774436090225564,0.988593155893536,0.0,0.0224786000326275,center0,0.0,1.0541041691180173,HC_SINGLE_SIGMA_2.50,486.0,
UBC1025,heuristic_cut,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.0087600999977439,center0,0.0,0.6729362687300764,HC_SINGLE_SIGMA_2.50,488.0,
UBC1026,heuristic_cut,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.0083653000183403,center0,0.0,0.6542801073609826,HC_SINGLE_SIGMA_2.50,488.0,
UBC1027,heuristic_cut,20229,20229,0,229,229,1.0,1.0,1.0,0.0,0.0259170000208541,center0,0.0,1.2765760861746691,HC_SINGLE_SIGMA_2.50,487.0,
UBC1028,heuristic_cut,4020,4020,0,20,20,1.0,1.0,1.0,0.0,0.0093731000088155,center0,0.0,0.6193033010680368,HC_SINGLE_SIGMA_2.50,485.0,
UBC1029,heuristic_cut,9444,9447,3,44,44,1.0,0.9361702127659576,0.967032967032967,0.0,0.0130418000044301,center0,0.0,0.7793942289647394,HC_SINGLE_SIGMA_2.50,489.0,
UBC1030,heuristic_cut,4623,4623,0,23,23,1.0,1.0,1.0,0.0,0.0077697000233456,center0,0.0,0.6445307632103544,HC_SINGLE_SIGMA_2.50,487.0,
UBC1031,heuristic_cut,9045,9045,0,45,45,1.0,1.0,1.0,0.0,0.0128254999872297,center0,0.0,0.7781841357253694,HC_SINGLE_SIGMA_2.50,490.0,
UBC1032,heuristic_cut,3216,3216,0,16,16,1.0,1.0,1.0,0.0,0.0074382000602781,center0,0.0,0.5767610089533145,HC_SINGLE_SIGMA_2.50,487.0,
UBC1033,heuristic_cut,6833,6834,1,33,33,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0143114998936653,center0,0.0,0.7313242837382395,HC_SINGLE_SIGMA_2.50,487.0,
UBC1034,heuristic_cut,9045,9045,0,45,45,1.0,1.0,1.0,0.0,0.0143788000568747,center0,0.0,0.7916179218344592,HC_SINGLE_SIGMA_2.50,487.0,
UBC1035,heuristic_cut,20112,20112,0,112,112,1.0,1.0,1.0,0.0,0.0208053999813273,center0,0.0,0.974150229100058,HC_SINGLE_SIGMA_2.50,488.0,
UBC1036,heuristic_cut,20112,20112,0,112,112,1.0,1.0,1.0,0.0,0.0205183000070974,center0,0.0,0.9940067938006614,HC_SINGLE_SIGMA_2.50,488.0,
UBC1037,heuristic_cut,17084,17085,1,84,84,1.0,0.9882352941176472,0.9940828402366864,0.0,0.0262869999278336,center0,0.0,0.9106199692077572,HC_SINGLE_SIGMA_2.50,489.0,
UBC1038,heuristic_cut,10251,10251,0,51,51,1.0,1.0,1.0,0.0,0.0113465000176802,center0,0.0,0.8067944864664534,HC_SINGLE_SIGMA_2.50,484.0,
UBC1039,heuristic_cut,11656,11658,2,56,56,1.0,0.9655172413793104,0.9824561403508772,0.0,0.016248199972324,center0,0.0,0.8611797099653972,HC_SINGLE_SIGMA_2.50,486.0,
UBC1040,heuristic_cut,8040,8040,0,40,40,1.0,1.0,1.0,0.0,0.0106268000090494,center0,0.0,0.7761670806367944,HC_SINGLE_SIGMA_2.50,488.0,
UBC1041,heuristic_cut,7035,7035,0,35,35,1.0,1.0,1.0,0.0,0.0085899999830871,center0,0.0,0.7313159306191667,HC_SINGLE_SIGMA_2.50,489.0,
UBC1042,heuristic_cut,19094,19095,1,94,94,1.0,0.9894736842105264,0.9947089947089948,0.0,0.0216715999413281,center0,0.0,0.9388922825192316,HC_SINGLE_SIGMA_2.50,488.0,
UBC1043,heuristic_cut,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.0116438999539241,center0,0.0,0.7072063358080509,HC_SINGLE_SIGMA_2.50,487.0,
UBC1044,heuristic_cut,6030,6030,0,30,30,1.0,1.0,1.0,0.0,0.0162149000680074,center0,0.0,0.6967456088469443,HC_SINGLE_SIGMA_2.50,488.0,
UBC1045,heuristic_cut,10853,10854,1,53,53,1.0,0.9814814814814816,0.9906542056074767,0.0,0.013131899992004,center0,0.0,0.8239346921564685,HC_SINGLE_SIGMA_2.50,484.0,
UBC1046,heuristic_cut,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.0116369000170379,center0,0.0,0.7078272895467403,HC_SINGLE_SIGMA_2.50,489.0,
UBC1047,heuristic_cut,6833,6834,1,33,33,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0096614999929443,center0,0.0,0.7276254262370904,HC_SINGLE_SIGMA_2.50,481.0,
UBC1048,heuristic_cut,11658,11658,0,58,58,1.0,1.0,1.0,0.0,0.0173717000288888,center0,0.0,0.8424157504826086,HC_SINGLE_SIGMA_2.50,484.0,
UBC1049,heuristic_cut,20228,20231,3,228,228,1.0,0.987012987012987,0.9934640522875816,0.0,0.029644800000824,center0,0.0,1.244721996636179,HC_SINGLE_SIGMA_2.50,488.0,
UBC1050,heuristic_cut,5427,5427,0,27,27,1.0,1.0,1.0,0.0,0.0095192000735551,center0,0.0,0.6827029806927871,HC_SINGLE_SIGMA_2.50,490.0,
UBC1051,heuristic_cut,16078,16080,2,78,78,1.0,0.975,0.9873417721518988,0.0,0.0211967999348416,center0,0.0,0.9149049980530184,HC_SINGLE_SIGMA_2.50,483.0,
UBC1052,heuristic_cut,6230,6231,1,30,30,1.0,0.967741935483871,0.9836065573770492,0.0,0.009112500003539,center0,0.0,0.7107988511280235,HC_SINGLE_SIGMA_2.50,489.0,
